,OID_,Long,Lat,f_nf,rh,max15,hrs2,hrs72,gw,dtw,twi,elv,WGF6,AWDR,AWND,td_3l,td_3h,td_3av,datetime
34,4103,-76.273869,36.854424,0,0,0,0,0.369888693,2.429535151,1060.58,3.37751,1.73154,10.536,156.895,5.274,0.274,1.765,1.127,2017-08-11 15:00:0034
35,4210,-76.191896,36.846022,0,0,0,0,0.227341563,3.411300659,775.73,4.97851,7.98963,10.536,156.895,5.274,0.274,1.765,1.127,2017-08-11 15:00:0035
36,4352,-76.286798,36.967086,0,0,0,0,0.175553069,2.562745333,620.164,3.82799,1.2655,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0036
37,4829,-76.256555,36.906347,0,0,0,0,0.27039212,2.886521816,134.258,19.6809,3.05249,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0037
38,5097,-76.223054,36.884542,0,0,0,0,0.254381925,1.665214896,2542.69,4.01893,10.8874,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0038
39,5219,-76.193111,36.877229,0,0,0,0,0.21336624,2.680423498,977.721,3.80623,6.02502,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0039
40,5251,-76.285726,36.874886,0,0,0,0,0.235338837,2.631436586,1478.3,7.91483,2.33985,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0040
41,5267,-76.206759,36.874315,0,0,0,0,0.239942983,2.390699387,307.438,3.47204,3.43659,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0041
42,5302,-76.2871,36.871846,0,0,0,0,0.234168947,2.601291418,2315.79,9.93094,2.41917,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0042
43,5328,-76.291932,36.868845,0,0,0,0,0.231068462,2.475432873,4171.66,3.60121,2.77149,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0043
44,5354,-76.299262,36.865871,0,0,0,0,0.22821261,2.2667377,2392.21,6.77923,2.00067,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0044
45,5546,-76.298182,36.854069,0,0,0,0,0.223646283,1.858248234,55.6777,18.0869,-0.9,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0045
46,5549,-76.273869,36.854424,0,0,0,0,0.241565913,2.440128088,1060.58,3.37751,1.73154,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0046
47,5656,-76.191896,36.846022,0,0,0,0,0.190123379,3.414395332,775.73,4.97851,7.98963,8.5,184.52,6.243,-1.015,0.183,-0.574,2017-08-11 18:00:0047
48,5798,-76.286798,36.967086,0,0.009284816,0.009284816,0.011617506,0.182583839,2.561940432,620.164,3.82799,1.2655,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0048
49,6275,-76.256555,36.906347,0,0.009529374,0.009529374,0.010951715,0.281121373,2.885407209,134.258,19.6809,3.05249,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0049
50,6543,-76.223054,36.884542,0,0.0065199,0.0065199,0.016565515,0.270675659,1.655202508,2542.69,4.01893,10.8874,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0050
51,6665,-76.193111,36.877229,0,0.007159459,0.007159459,0.016556963,0.229696363,2.672072887,977.721,3.80623,6.02502,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0051
52,6697,-76.285726,36.874886,0,0.008650322,0.008650322,0.012848661,0.247639909,2.591732025,1478.3,7.91483,2.33985,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0052
53,6713,-76.206759,36.874315,0,0.006522104,0.006522104,0.017330606,0.257051498,2.382770538,307.438,3.47204,3.43659,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0053
54,6748,-76.2871,36.871846,0,0.008713355,0.008713355,0.012739557,0.246407866,2.575993776,2315.79,9.93094,2.41917,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0054
55,6774,-76.291932,36.868845,0,0.008934891,0.008934891,0.012309104,0.242920652,2.4620471,4171.66,3.60121,2.77149,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0055
56,6800,-76.299262,36.865871,0,0.00920483,0.00920483,0.01176047,0.239556253,2.263790369,2392.21,6.77923,2.00067,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0056
57,6992,-76.298182,36.854069,0,0.009241548,0.009241548,0.011716652,0.235079199,1.872436047,55.6777,18.0869,-0.9,4.541,214.709,4.584,-1.004,0.22,-0.554,2017-08-12 06:00:0057
